,Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_5,Experiment_6,Experiment_7,Experiment_8
Satellite,293.836204,311.121429,304.559818,300.559755,287.280559,287.279836,284.342508,311.819891
Spambase,325.885284,317.93345,321.142177,300.517535,328.997296,324.873279,306.270173,293.580805
Yeast,298.854749,298.902135,302.527267,309.142693,306.358351,302.136874,311.755587,337.522344
Iris,293.584816,298.164339,300.390855,303.0821,312.955279,295.390213,304.827033,326.805364
Diabetes,293.872437,277.493512,294.326346,281.215724,278.051548,304.566566,305.068961,294.204906
Vehicle,301.25192,286.138413,279.930163,297.526991,290.204575,280.661147,291.855307,308.431483
