,Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_5,Experiment_6,Experiment_7,Experiment_8
Satellite,91.0982,93.4029,92.528,91.9946,90.2241,90.224,89.8323,93.496
Spambase,95.3647,94.3045,94.7323,91.9823,95.7796,95.2298,92.7494,91.0574
Yeast,91.7273,91.7336,92.217,93.099,92.7278,92.1649,93.4474,96.883
Iris,91.058,91.6686,91.9654,92.3243,93.6407,91.2987,92.5569,95.4874
Diabetes,91.0697,88.8858,91.1302,89.3821,88.9602,92.4955,92.5625,91.114
Vehicle,92.1336,90.1185,89.2907,91.6369,90.6606,89.3882,90.8807,93.0909
