Training log for Spambase dataset
Epoch, Loss, Accuracy
1, 4.084028499564244186, 62.8773
2, 3.337528858844016622, 66.1611
3, 3.210687280373561769, 70.7786
4, 2.457364708368473760, 75.3670
5, 2.012883734087130616, 80.0350
6, 1.722485982128264537, 84.4236
7, 1.324609432528157660, 83.0931
8, 1.167515036612439161, 84.8144
9, 0.908233032073365032, 84.4642
10, 0.878586341489984046, 86.5233
11, 0.630698603245599565, 91.9722
12, 0.601934758173818585, 92.7273
13, 0.545892469165108030, 93.0839
14, 0.415922155933968085, 92.4368
15, 0.395152510810978908, 90.7776
16, 0.265018986969593473, 93.3052
17, 0.230234944377722295, 91.3070
18, 0.233727462479171172, 93.1003
19, 0.191238882369872021, 95.1722
20, 0.146675867997100917, 92.6773
21, 0.142834560429478896, 94.5522
22, 0.146494782690489406, 95.4588
23, 0.111326919224581614, 92.7019
24, 0.104604843795237046, 94.4110
25, 0.091919544305502129, 92.9575
26, 0.085252162340808582, 93.0952
27, 0.077231622988259016, 92.9265
28, 0.069937061166696013, 93.3483
29, 0.068575800000000006, 94.2726
30, 0.068422566666666670, 94.7323
